Full Name,Department,Job Title,Hiring day
Watson Dorothy Dmitrievna,Army,Reporter,20/07/2020
Smoak Jason Veniaminovna,SSR,Air Force Pilot,01/05/2023
Storm Tony Gennadievna,Daily Planet,Agent,14/08/2022
Parker Peter Olgaevna,Oscorp Industries,Photographer,22/01/2020
Lane Kate Timofeyevna,Stark Industries,Journalist,14/09/2018
Lane Clark Yurievna,League of Assassins,Scientist,12/09/2017
Wilson Lois Annaevna,SSR,Scientist,24/02/2020
Queen Steve Gennadievna,Wayne Enterprises,Spy,02/12/2017
Romanoff Rey Nikolaevna,NASA,Agent,04/03/2017
Smoak Oliver Viktorovna,Palmer Technologies,Private Investigator,09/10/2019
White Peggy Ivanovna,Wayne Enterprises,Archer,11/01/2021
Watson Peter Petrovna,SSR,Model,26/12/2018
Parker Kara Veniaminovna,Queen Industries,Spy,15/03/2023
Rand Barry Nikolayevna,Central City Police Department,Archer,22/05/2017
Danvers Dorothy Alexandrovna,Gamma Research,Agent,02/11/2022
Osborn Clark Olgaevna,Wayne Enterprises,Photographer,11/09/2018
Allen Walter Borisovna,League of Assassins,Journalist,02/10/2016
Maximoff Norman Vsevolodovna,Central City Police Department,Model,04/10/2018
Allen Rey Timofeyevna,Central City Police Department,Agent,10/09/2021
Queen Norman Vsevolodovna,Palmer Technologies,Lawyer,01/06/2019
Wilson David Nikolaevna,Rand Enterprises,Model,02/11/2022
Kent Susan Stanislavovna,Stark Industries,Archer,04/10/2018
Allen Kate Vladislavovna,Queen Industries,Photographer,01/06/2024
Romanoff Tony Mikhailovna,CatCo Worldwide Media,Lawyer,08/08/2019
Rogers Norman Petrovna,Fantastic Four,Private Investigator,06/04/2023
Cain Steve Annaevna,Rand Enterprises,Model,24/07/2021
Todd Rey Nikolaevna,Oscorp Industries,Soldier,25/01/2024
Zor-El Peter Vladislavovna,Queen Industries,Reporter,20/08/2016
Gale Mary Yakovlevna,Oscorp Industries,CEO,21/02/2022
Rand Rey Olgaevna,SSR,Lawyer,09/10/2017
Palpatine Mary Yevgenievna,Gamma Research,Lawyer,05/11/2023
Todd Walter Alexandrovna,NASA,IT Specialist,18/07/2017
Cain Peggy Svetlanaevna,S.H.I.E.L.D.,Air Force Pilot,09/02/2022
Osborn Tony Timofeyevna,Wayne Enterprises,Air Force Pilot,04/04/2023
Cho Tony Olgaevna,Rand Enterprises,Private Investigator,01/02/2022
Jones Kate Andreevna,Oscorp Industries,Model,19/07/2018
Todd Rey Igorevna,Oscorp Industries,Agent,19/10/2022
Jones Mary Borisovna,Fantastic Four,Lawyer,24/10/2022
Gale Kate Mikhailovna,S.H.I.E.L.D.,Lawyer,22/09/2018
Romanoff Jason Vsevolodovna,Rand Enterprises,Scientist,27/03/2024
Romanoff Peter Dariaevna,Palmer Technologies,Spy,05/11/2018
Bishop Oliver Leonidovna,Central City Police Department,Spy,23/03/2018
Palpatine Peggy Mikhailovna,Daily Planet,Scientist,23/09/2022
Stark Matt Romanovna,Gamma Research,Spy,02/10/2017
Romanoff Oliver Igorevna,Queen Industries,Model,15/05/2020
Rogers Ben Valeryevna,CatCo Worldwide Media,Scientist,30/07/2017
Cain Clark Olgaevna,Wayne Enterprises,Soldier,02/11/2023
Carter Wade Stanislavovna,Wayne Enterprises,Private Investigator,17/06/2018
Parker Tony Dmitrievna,Alias Investigations,Lawyer,27/09/2017
Carter Wade Vladislavovna,Daily Planet,Journalist,21/05/2017
Romanoff Carol Alexandrovna,NASA,Soldier,07/10/2016
White Mary Yakovlevna,S.H.I.E.L.D.,Photographer,15/10/2016
Maximoff Wanda Alexandrovna,Gamma Research,Reporter,24/01/2018
Maximoff Susan Vladimirovna,Daily Planet,Scientist,07/07/2017
Zor-El Lois Vladislavovna,Queen Industries,Air Force Pilot,10/12/2016
Gale Felicity Elenaevna,S.H.I.E.L.D.,Lawyer,30/05/2023
Palpatine Clark Borisovna,Gamma Research,Photographer,04/01/2018
Allen Norman Annaevna,NASA,Photographer,25/12/2016
Wayne Wade Irinaevna,League of Assassins,Model,26/08/2019
Parker Kate Tatianaevna,CatCo Worldwide Media,Spy,14/08/2022
Stark Barry Yevgenievna,Gamma Research,IT Specialist,04/07/2023
Cain David Stanislavovna,Stark Industries,Spy,07/10/2022
Stark Wanda Stanislavovna,Rand Enterprises,CEO,18/08/2018
Zor-El Daniel Sidorovna,Gamma Research,Reporter,26/09/2020
Cho Clark Vladislavovna,Stark Industries,CEO,06/04/2018
Palpatine Ben Elenaevna,Alias Investigations,Lawyer,03/08/2023
Watson Walter Borisovna,CatCo Worldwide Media,Reporter,27/09/2019
Todd Peter Vasilievna,Central City Police Department,Lawyer,18/08/2016
Wilson Kara Yevgenievna,S.H.I.E.L.D.,Reporter,15/05/2022
Cain Ben Vladislavovna,Rand Enterprises,Agent,04/11/2016
Cho Barry Olegovna,Rand Enterprises,Private Investigator,12/04/2023
Kent Mary Mikhailovna,League of Assassins,IT Specialist,25/05/2017
Romanoff Clark Tatianaevna,NASA,Air Force Pilot,25/11/2023
Rand Felicity Artemovna,Central City Police Department,Spy,03/03/2019
Reilly Mary Mikhailovna,Alias Investigations,Lawyer,29/07/2018
Palpatine Oliver Nikolaevna,League of Assassins,Agent,16/01/2021
Smoak Jessica Leonidovna,NASA,Lawyer,24/12/2018
Storm Lois Vladislavovna,Alias Investigations,Model,12/04/2022
Murdock Peter Dariaevna,League of Assassins,CEO,24/06/2022
Todd Tony Romanovna,Army,Air Force Pilot,06/06/2017
Smoak Clark Artemovna,Daily Planet,Reporter,06/08/2018
Zor-El David Yurievna,Army,Scientist,09/08/2021
Watson Peggy Vsevolodovna,CatCo Worldwide Media,Model,14/03/2018
Lane Kara Borisovna,NASA,Journalist,01/11/2018
Storm Barry Katerinaevna,Rand Enterprises,Air Force Pilot,06/12/2022
Maximoff Barry Yakovlevna,SSR,Soldier,15/12/2018
Murdock Felicity Olegovna,Central City Police Department,Archer,14/11/2021
Allen Matt Nataliaevna,NASA,Scientist,26/10/2020
Storm Wade Vladimirovna,Army,Scientist,02/01/2019
Watson Matt Annaevna,S.H.I.E.L.D.,Journalist,14/09/2016
Watson Jason Timofeyevna,Army,CEO,05/04/2022
Wilson Kara Vsevolodovna,Fantastic Four,Lawyer,18/06/2023
Kent Mary Sidorovna,Queen Industries,Photographer,19/02/2019
Rogers Jessica Vladimirovna,Army,Private Investigator,16/10/2017
Kent Norman Elenaevna,Palmer Technologies,Air Force Pilot,19/01/2018
Wilson Matt Leonidovna,NASA,Journalist,05/10/2018
Rand Wanda Olegovna,SSR,IT Specialist,06/04/2018
Parker Natasha Nikolayevna,Oscorp Industries,Spy,17/10/2016
Stark Barry Igorevna,Wayne Enterprises,IT Specialist,25/07/2017
Storm Dorothy Yevgenievna,Alias Investigations,Air Force Pilot,29/08/2021
Palpatine Rey Vladimirovna,Wayne Enterprises,Lawyer,22/04/2019
Palpatine Rey Vladislavovna,Central City Police Department,Spy,05/12/2019
Smoak Felicity Yakovlevna,S.H.I.E.L.D.,Model,01/07/2017
Wilson Jason Nataliaevna,Gamma Research,Reporter,25/12/2017
Danvers Grace Dmitrievna,SSR,CEO,23/02/2018
Maximoff Grace Elenaevna,League of Assassins,Air Force Pilot,27/11/2021
Rand Clark Romanovna,Oscorp Industries,Spy,25/07/2023
Zor-El Clark Nikolaevna,Rand Enterprises,CEO,10/12/2019
Kent David Viktorovna,Gamma Research,Air Force Pilot,19/06/2021
Romanoff Felicity Nikolaevna,Wayne Enterprises,Model,07/12/2017
