Full Name,Department,Job Title,Hiring day
Cain Lois Svetlanaevna,Gamma Research,Lawyer,23/01/2018
Palpatine Jessica Katerinaevna,SSR,Reporter,30/05/2017
Storm Rey Petrovna,NASA,Air Force Pilot,06/01/2019
Parker Rey Olgaevna,CatCo Worldwide Media,CEO,27/06/2020
Cain David Svetlanaevna,Queen Industries,Air Force Pilot,19/06/2020
Watson Clark Yurievna,Wayne Enterprises,Soldier,21/11/2019
Zor-El Jessica Nataliaevna,Queen Industries,IT Specialist,22/09/2017
Queen Norman Dmitrievna,Rand Enterprises,Scientist,15/06/2018
Parker Wade Maryevna,Army,Photographer,31/08/2016
Zor-El Matt Timofeyevna,Rand Enterprises,Soldier,18/10/2016
Kent Carol Romanovna,Rand Enterprises,CEO,23/11/2023
Rogers Felicity Ivanovna,Palmer Technologies,Soldier,14/07/2019
Storm Mary Ivanovna,Army,Reporter,29/10/2017
Parker Daniel Katerinaevna,Gamma Research,Private Investigator,03/07/2018
Jones David Irinaevna,League of Assassins,Journalist,05/11/2020
Carter Norman Vasilievna,Oscorp Industries,Reporter,17/11/2022
Carter Grace Gennadievna,Fantastic Four,Scientist,01/07/2020
Watson Susan Maryevna,Palmer Technologies,Air Force Pilot,27/07/2018
Storm David Stanislavovna,Daily Planet,Archer,01/12/2022
Smoak Natasha Annaevna,CatCo Worldwide Media,Reporter,17/07/2022
Palpatine Tony Svetlanaevna,Queen Industries,Soldier,21/12/2020
Watson David Igorevna,Rand Enterprises,Air Force Pilot,15/09/2020
Parker Steve Sergeevna,Stark Industries,Journalist,15/10/2016
Murdock Grace Timofeyevna,Central City Police Department,IT Specialist,13/01/2024
Kent Kate Artemovna,League of Assassins,CEO,26/08/2022
Rogers Kate Vladimirovna,Alias Investigations,Air Force Pilot,23/04/2023
Zor-El Peggy Svetlanaevna,S.H.I.E.L.D.,Soldier,03/07/2018
White Rey Yurievna,Daily Planet,Air Force Pilot,12/01/2020
Gale Norman Irinaevna,Queen Industries,CEO,26/12/2020
Maximoff Wade Katerinaevna,NASA,Model,09/02/2021
Carter Tony Maryevna,Queen Industries,Agent,07/07/2017
Watson Barry Romanovna,CatCo Worldwide Media,Soldier,01/03/2019
Storm Clark Leonidovna,Palmer Technologies,Agent,22/10/2022
Palpatine Rey Stanislavovna,Alias Investigations,Soldier,02/05/2024
Cain Ben Olgaevna,Gamma Research,Spy,10/04/2023
Murdock Grace Mikhailovna,NASA,Photographer,30/03/2017
Watson Rey Stanislavovna,Daily Planet,Soldier,30/06/2018
Zor-El Tony Leonidovna,Stark Industries,Journalist,29/04/2018
Cain Jessica Artemovna,Oscorp Industries,Private Investigator,15/04/2021
Danvers Matt Yevgenievna,SSR,Journalist,07/10/2016
Romanoff Carol Yurievna,Wayne Enterprises,Agent,01/07/2023
Watson Oliver Tatianaevna,S.H.I.E.L.D.,Journalist,09/10/2021
Cain Walter Artemovna,NASA,CEO,04/07/2019
Wayne Tony Elenaevna,Wayne Enterprises,Lawyer,29/09/2020
Queen Peggy Viktorovna,Palmer Technologies,IT Specialist,19/06/2021
Rogers Barry Viktorovna,Queen Industries,IT Specialist,01/01/2017
Stark Steve Vladislavovna,CatCo Worldwide Media,Lawyer,20/12/2022
Rand Jessica Sidorovna,Stark Industries,IT Specialist,13/02/2022
Jones Bruce Nikolayevna,Fantastic Four,Air Force Pilot,29/12/2019
Rogers Wade Irinaevna,Rand Enterprises,Air Force Pilot,26/02/2018
Queen Bruce Nikolaevna,Army,Spy,06/08/2020
Kent Mary Igorevna,Gamma Research,Private Investigator,01/03/2017
