Full Name,Department,Job Title,Hiring day
Murdock Jason Fedorovna,Gamma Research,CEO,14/02/2021
Reilly Peter Nikolayevna,Wayne Enterprises,Model,15/10/2017
Bishop Matt Vsevolodovna,CatCo Worldwide Media,IT Specialist,14/06/2020
Wayne Jessica Artemovna,Stark Industries,Lawyer,10/05/2017
Carter Jason Annaevna,Oscorp Industries,Air Force Pilot,22/06/2019
Cho Peggy Gennadievna,Gamma Research,Agent,09/04/2022
White Kate Svetlanaevna,Daily Planet,Soldier,24/09/2022
Allen Matt Yakovlevna,Palmer Technologies,Model,30/01/2018
Queen Lois Leonidovna,SSR,Private Investigator,25/11/2023
Murdock Norman Katerinaevna,Stark Industries,Spy,13/09/2019
Zor-El Peggy Mikhailovna,Wayne Enterprises,Photographer,06/01/2021
Parker Steve Vladimirovna,Daily Planet,Reporter,13/06/2024
Parker Mary Stanislavovna,Oscorp Industries,Journalist,18/02/2023
Cho Felicity Petrovna,Gamma Research,Soldier,11/08/2022
Reilly Jason Elenaevna,Central City Police Department,Spy,30/08/2022
Wilson Peter Katerinaevna,SSR,Spy,31/07/2022
Carter Grace Olegovna,CatCo Worldwide Media,Lawyer,14/05/2017
Kent Bruce Katerinaevna,NASA,Air Force Pilot,14/02/2020
Stark Mary Yakovlevna,Queen Industries,CEO,05/01/2024
Wilson Daniel Mikhailovna,Army,Archer,28/05/2019
Rogers Jason Vsevolodovna,Central City Police Department,Spy,21/03/2020
Osborn Lois Gennadievna,NASA,Photographer,01/12/2019
Lane Oliver Vladislavovna,League of Assassins,Journalist,24/09/2022
Zor-El Matt Veniaminovna,Queen Industries,Soldier,29/03/2017
Storm Wade Vladislavovna,S.H.I.E.L.D.,CEO,24/01/2020
Danvers Steve Andreevna,Rand Enterprises,Scientist,22/12/2018
Murdock Felicity Olegovna,Army,CEO,19/04/2017
Wayne Peggy Nikolayevna,Daily Planet,Model,18/04/2022
Allen Lois Nataliaevna,S.H.I.E.L.D.,CEO,17/04/2019
Kent Norman Artemovna,Daily Planet,Journalist,11/01/2021
Palpatine Mary Vsevolodovna,SSR,Model,17/08/2020
Wilson Kara Vladimirovna,Alias Investigations,Reporter,09/08/2021
Bishop Tony Vasilievna,Alias Investigations,Agent,07/07/2017
Rogers Norman Petrovna,NASA,Lawyer,01/07/2024
Maximoff Barry Yevgenievna,Wayne Enterprises,Photographer,22/05/2017
Wayne Tony Svetlanaevna,Rand Enterprises,Agent,13/08/2020
Murdock Lois Nataliaevna,Palmer Technologies,Air Force Pilot,01/12/2019
Cain Natasha Olgaevna,CatCo Worldwide Media,IT Specialist,10/05/2019
Zor-El Carol Artemovna,Daily Planet,Spy,06/11/2022
Zor-El David Olgaevna,Fantastic Four,IT Specialist,14/11/2018
Wayne Mary Artemovna,Palmer Technologies,Journalist,04/12/2016
Palpatine Wade Nataliaevna,League of Assassins,Private Investigator,02/02/2024
Maximoff Dorothy Dariaevna,Army,IT Specialist,28/06/2023
Jones Barry Annaevna,Gamma Research,Spy,10/08/2019
Storm Daniel Nataliaevna,Palmer Technologies,Spy,26/03/2019
Maximoff Ben Sergeevna,Palmer Technologies,Soldier,23/05/2020
Cain Wanda Igorevna,Oscorp Industries,Lawyer,16/12/2019
Palpatine Ben Dariaevna,Alias Investigations,Soldier,13/11/2023
Rand Matt Mikhailovna,Gamma Research,IT Specialist,22/10/2022
Storm Jessica Alexandrovna,Rand Enterprises,Agent,25/07/2017
Osborn Steve Veniaminovna,Central City Police Department,Lawyer,11/05/2017
Watson Peter Maryevna,Fantastic Four,Soldier,28/06/2018
Maximoff Matt Borisovna,Central City Police Department,CEO,16/12/2018
Zor-El Kate Vasilievna,Gamma Research,Photographer,25/09/2021
Maximoff Felicity Borisovna,Gamma Research,Spy,29/03/2019
Parker Felicity Romanovna,Gamma Research,Lawyer,27/08/2021
Cain Mary Svetlanaevna,Alias Investigations,Spy,31/07/2019
Jones Clark Irinaevna,Rand Enterprises,Archer,01/06/2019
Murdock Kate Sidorovna,Army,Air Force Pilot,19/12/2021
Jones Oliver Valeryevna,Rand Enterprises,CEO,12/05/2017
Romanoff Norman Romanovna,Gamma Research,Reporter,14/10/2021
Lane Peter Nikolaevna,S.H.I.E.L.D.,Reporter,19/06/2017
Rand Felicity Igorevna,S.H.I.E.L.D.,Scientist,19/08/2020
Bishop Matt Borisovna,Queen Industries,Spy,14/03/2019
Rogers Kate Dmitrievna,Palmer Technologies,Lawyer,21/10/2017
Wilson Walter Annaevna,NASA,Photographer,21/11/2019
Jones Barry Petrovna,Alias Investigations,Soldier,13/01/2020
White Walter Alexandrovna,CatCo Worldwide Media,Lawyer,17/04/2018
Rand Clark Vladimirovna,Wayne Enterprises,CEO,01/10/2023
