Full Name,Department,Job Title,Hiring day
Osborn Wanda Sidorovna,Rand Enterprises,Lawyer,10/11/2020
Queen Clark Veniaminovna,Rand Enterprises,Reporter,21/04/2018
Osborn Natasha Dmitrievna,S.H.I.E.L.D.,Reporter,22/06/2017
Smoak Grace Ivanovna,SSR,Archer,06/05/2019
Reilly Bruce Nataliaevna,Wayne Enterprises,Reporter,21/12/2018
Jones Lois Alexandrovna,Queen Industries,Spy,20/12/2016
Zor-El Walter Vasilievna,Gamma Research,Private Investigator,16/12/2018
Parker Kate Borisovna,Rand Enterprises,Scientist,24/02/2024
Todd Wanda Dariaevna,Central City Police Department,Air Force Pilot,02/03/2022
Watson Clark Katerinaevna,Wayne Enterprises,Lawyer,13/07/2017
Osborn Lois Valeryevna,Wayne Enterprises,Journalist,14/12/2023
Osborn Grace Sergeevna,Stark Industries,Scientist,05/09/2019
Wilson Peggy Romanovna,Oscorp Industries,Spy,29/01/2023
Todd Felicity Elenaevna,Alias Investigations,Agent,18/11/2023
Osborn Carol Timofeyevna,CatCo Worldwide Media,CEO,14/01/2023
Palpatine Grace Irinaevna,Fantastic Four,Air Force Pilot,22/12/2017
Kent Lois Leonidovna,League of Assassins,Reporter,19/05/2019
Osborn Natasha Mikhailovna,Alias Investigations,Journalist,16/05/2021
Danvers Rey Nikolaevna,Wayne Enterprises,CEO,23/11/2018
Cho Natasha Svetlanaevna,Alias Investigations,Soldier,12/11/2016
Maximoff Felicity Sidorovna,Oscorp Industries,Spy,10/03/2022
Maximoff David Borisovna,Daily Planet,Spy,18/09/2022
Danvers Dorothy Andreevna,Palmer Technologies,Journalist,08/10/2021
Allen Kate Veniaminovna,League of Assassins,Scientist,29/11/2016
Reilly Barry Stanislavovna,SSR,Journalist,17/06/2021
Cain Felicity Viktorovna,NASA,Journalist,22/02/2024
Storm Walter Nataliaevna,Queen Industries,Photographer,20/03/2022
Jones Norman Petrovna,Fantastic Four,Agent,08/05/2019
Wilson Lois Romanovna,Oscorp Industries,Journalist,21/03/2020
Maximoff Ben Stanislavovna,S.H.I.E.L.D.,Model,27/09/2021
Danvers Barry Mikhailovna,Central City Police Department,Archer,23/02/2019
Queen Wanda Nikolaevna,NASA,Scientist,17/11/2020
Reilly Lois Vasilievna,S.H.I.E.L.D.,Photographer,30/11/2019
Carter Peter Tatianaevna,Wayne Enterprises,Reporter,10/09/2018
Smoak Bruce Dmitrievna,Wayne Enterprises,Agent,12/06/2018
Rogers Lois Leonidovna,Daily Planet,Air Force Pilot,12/10/2023
Carter Mary Dmitrievna,Rand Enterprises,Journalist,25/08/2016
Carter Walter Mikhailovna,SSR,CEO,30/11/2018
Queen Susan Sidorovna,Oscorp Industries,IT Specialist,29/05/2022
Zor-El Mary Mikhailovna,Palmer Technologies,Soldier,10/07/2021
Watson Kara Fedorovna,League of Assassins,CEO,02/08/2022
Danvers Carol Mikhailovna,Daily Planet,Air Force Pilot,30/01/2022
Reilly Peter Gennadievna,Army,IT Specialist,08/06/2023
Zor-El Dorothy Irinaevna,Alias Investigations,Lawyer,20/05/2022
Smoak Lois Annaevna,SSR,Soldier,17/08/2018
Stark Clark Vladimirovna,Oscorp Industries,Reporter,06/06/2021
Danvers Peter Nikolayevna,CatCo Worldwide Media,Soldier,15/09/2020
Maximoff Wanda Petrovna,Fantastic Four,Private Investigator,08/07/2023
Reilly Tony Stanislavovna,SSR,Scientist,27/08/2023
Watson Ben Yurievna,Alias Investigations,Lawyer,13/07/2024
Stark Peggy Petrovna,Central City Police Department,Private Investigator,06/01/2024
White Norman Yurievna,League of Assassins,Reporter,12/07/2024
Palpatine Tony Annaevna,SSR,Spy,20/02/2020
Stark Mary Vsevolodovna,Wayne Enterprises,Private Investigator,11/04/2023
Osborn Felicity Ivanovna,S.H.I.E.L.D.,Scientist,25/01/2018
Stark Rey Valeryevna,CatCo Worldwide Media,IT Specialist,22/04/2018
Lane Jason Tatianaevna,CatCo Worldwide Media,Archer,21/05/2019
Cho Natasha Nataliaevna,S.H.I.E.L.D.,IT Specialist,15/01/2022
Palpatine Peter Valeryevna,Central City Police Department,Air Force Pilot,25/01/2018
Cho Norman Maryevna,Rand Enterprises,IT Specialist,07/05/2019
Romanoff Felicity Gennadievna,Daily Planet,IT Specialist,01/03/2020
Carter Wade Tatianaevna,S.H.I.E.L.D.,IT Specialist,26/12/2021
Jones Barry Sidorovna,Fantastic Four,Photographer,26/07/2022
Wayne Wanda Vsevolodovna,Alias Investigations,Scientist,15/08/2017
