Full Name,Department,Job Title,Hiring day
Queen Lois Olgaevna,Army,CEO,19/12/2019
Osborn Felicity Vasilievna,Queen Industries,Reporter,14/09/2023
Wayne Rey Vladislavovna,Palmer Technologies,CEO,12/04/2020
Bishop Barry Vsevolodovna,League of Assassins,Soldier,05/07/2024
White Barry Sergeevna,SSR,Spy,24/08/2016
Palpatine Oliver Tatianaevna,SSR,Spy,12/06/2020
Jones Felicity Vladimirovna,Gamma Research,CEO,18/08/2020
Todd Matt Sidorovna,NASA,Soldier,08/09/2019
Cho Grace Dariaevna,Gamma Research,Agent,28/08/2017
Wayne Susan Annaevna,Stark Industries,Lawyer,09/05/2018
Cain Oliver Vasilievna,Fantastic Four,Scientist,06/09/2020
Cain Peggy Viktorovna,Rand Enterprises,Scientist,23/12/2023
Danvers Rey Valeryevna,Rand Enterprises,Lawyer,12/11/2022
Todd Susan Yakovlevna,Alias Investigations,CEO,09/04/2020
Zor-El Lois Mikhailovna,Queen Industries,Private Investigator,28/12/2022
Palpatine Bruce Elenaevna,Stark Industries,Private Investigator,16/02/2022
Gale Rey Nikolayevna,Alias Investigations,Soldier,13/12/2019
Bishop Bruce Timofeyevna,Central City Police Department,Photographer,08/03/2021
White Clark Nikolaevna,Daily Planet,Archer,17/07/2024
Carter Barry Vladislavovna,CatCo Worldwide Media,Agent,14/08/2019
Bishop Felicity Nikolaevna,Central City Police Department,Archer,11/08/2018
Osborn Felicity Timofeyevna,Queen Industries,Soldier,15/01/2018
Smoak Rey Ivanovna,Queen Industries,Private Investigator,13/12/2021
Smoak Mary Yakovlevna,Army,Journalist,18/10/2019
Storm Peter Leonidovna,Gamma Research,Photographer,01/11/2022
Stark Susan Olegovna,NASA,Air Force Pilot,15/04/2019
Allen Daniel Borisovna,SSR,Soldier,28/04/2017
Palpatine Matt Leonidovna,Palmer Technologies,Private Investigator,07/07/2020
White Peter Elenaevna,Army,Archer,12/06/2017
Smoak Wade Igorevna,Palmer Technologies,Spy,04/04/2022
Todd Clark Viktorovna,Fantastic Four,Photographer,26/11/2018
Jones Rey Borisovna,Fantastic Four,Journalist,22/06/2017
White Mary Nikolayevna,Daily Planet,CEO,01/02/2022
Cain Carol Artemovna,Wayne Enterprises,CEO,26/02/2021
Cain Walter Gennadievna,SSR,Private Investigator,08/08/2018
Reilly Daniel Yevgenievna,Stark Industries,CEO,02/09/2022
Allen Peggy Irinaevna,Palmer Technologies,Reporter,11/05/2021
Maximoff David Nikolayevna,SSR,IT Specialist,21/04/2024
Smoak Natasha Stanislavovna,Stark Industries,Private Investigator,08/05/2022
Maximoff Dorothy Alexandrovna,Palmer Technologies,Soldier,19/12/2016
Cain Matt Elenaevna,S.H.I.E.L.D.,Archer,28/09/2020
Cho Natasha Andreevna,Queen Industries,Lawyer,05/06/2020
Reilly Bruce Igorevna,League of Assassins,Spy,26/09/2016
Queen Jessica Nikolaevna,Queen Industries,Reporter,07/02/2018
Danvers Peggy Vsevolodovna,CatCo Worldwide Media,Air Force Pilot,12/09/2019
Kent Walter Elenaevna,Queen Industries,CEO,11/01/2017
Cain Jason Svetlanaevna,S.H.I.E.L.D.,Lawyer,23/02/2020
Maximoff Ben Vsevolodovna,Army,Private Investigator,23/02/2020
Reilly Kara Svetlanaevna,Gamma Research,Lawyer,06/05/2019
Smoak Oliver Stanislavovna,SSR,Model,05/09/2017
Danvers Clark Valeryevna,Central City Police Department,Reporter,09/07/2019
Kent Mary Vsevolodovna,S.H.I.E.L.D.,Archer,21/06/2022
Danvers David Ivanovna,SSR,Spy,22/09/2016
Cho Lois Sidorovna,CatCo Worldwide Media,Journalist,07/10/2019
Storm Natasha Vsevolodovna,Gamma Research,Journalist,11/08/2017
Cho Bruce Gennadievna,Stark Industries,Spy,03/02/2024
Wayne Dorothy Dmitrievna,Stark Industries,IT Specialist,05/03/2018
Murdock Susan Ivanovna,Alias Investigations,Private Investigator,27/08/2018
Parker Peter Veniaminovna,Army,Private Investigator,05/10/2022
Cho Lois Igorevna,CatCo Worldwide Media,Journalist,02/08/2024
Danvers Daniel Andreevna,CatCo Worldwide Media,Private Investigator,04/03/2017
Rogers Tony Olgaevna,Rand Enterprises,Agent,01/11/2021
Maximoff Carol Sidorovna,Wayne Enterprises,Private Investigator,02/03/2018
Smoak Norman Olgaevna,S.H.I.E.L.D.,IT Specialist,12/08/2020
Cain Clark Nikolayevna,Queen Industries,Lawyer,24/01/2022
Parker Natasha Sergeevna,Army,Spy,23/08/2016
Danvers Jason Timofeyevna,Gamma Research,IT Specialist,24/04/2024
Wayne Steve Sidorovna,S.H.I.E.L.D.,Model,11/03/2019
